STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NB_CHAP13,QTR_ENDED,DATE,FISCAL_YEAR
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,2413.0,1555.0,66.0,0,791.0,109.0,35.0,50.0,0,23.0,2304.0,1520.0,16,768.0,09/30/97,1997-09-30,1997.0
MAINE,MAINE,ME,FIRST CIRCUIT,3990.0,3596.0,16.0,2,376.0,315.0,220.0,16.0,2,77.0,3675.0,3376.0,0,299.0,09/30/97,1997-09-30,1997.0
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,23401.0,19955.0,323.0,0,3122.0,1e3,573.0,312.0,0,114.0,22401.0,19382.0,11,3008.0,09/30/97,1997-09-30,1997.0
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,4586.0,4261.0,42.0,3,280.0,103.0,58.0,39.0,3,3.0,4483.0,4203.0,3,277.0,09/30/97,1997-09-30,1997.0
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,5273.0,5037.0,24.0,0,212.0,177.0,135.0,24.0,0,18.0,5096.0,4902.0,0,194.0,09/30/97,1997-09-30,1997.0
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,14164.0,4226.0,106.0,3,9829.0,161.0,79.0,75.0,3,4.0,14003.0,4147.0,31,9825.0,09/30/97,1997-09-30,1997.0
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,13160.0,11550.0,138.0,3,1469.0,206.0,97.0,104.0,3,2.0,12954.0,11453.0,34,1467.0,09/30/97,1997-09-30,1997.0
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,15837.0,13262.0,91.0,32,2451.0,772.0,483.0,90.0,32,166.0,15065.0,12779.0,1,2285.0,09/30/97,1997-09-30,1997.0
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,28535.0,23098.0,404.0,0,5033.0,530.0,205.0,319.0,0,6.0,28005.0,22893.0,85,5027.0,09/30/97,1997-09-30,1997.0
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,15693.0,13337.0,622.0,1,1726.0,868.0,265.0,570.0,1,25.0,14825.0,13072.0,52,1701.0,09/30/97,1997-09-30,1997.0
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,12620.0,9413.0,87.0,8,3112.0,983.0,642.0,84.0,8,249.0,11637.0,8771.0,3,2863.0,09/30/97,1997-09-30,1997.0
VERMONT,VERMONT,VT,SECOND CIRCUIT,1812.0,1661.0,27.0,4,120.0,157.0,106.0,24.0,4,23.0,1655.0,1555.0,3,97.0,09/30/97,1997-09-30,1997.0
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2545.0,1567.0,227.0,1,750.0,252.0,25.0,226.0,1,0.0,2293.0,1542.0,1,750.0,09/30/97,1997-09-30,1997.0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,40872.0,28445.0,671.0,1,11753.0,1124.0,554.0,542.0,1,25.0,39748.0,27891.0,129,11728.0,09/30/97,1997-09-30,1997.0
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,20873.0,13085.0,294.0,13,7480.0,583.0,264.0,270.0,13,35.0,20290.0,12821.0,24,7445.0,09/30/97,1997-09-30,1997.0
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,8968.0,7532.0,93.0,7,1336.0,836.0,495.0,87.0,7,247.0,8132.0,7037.0,6,1089.0,09/30/97,1997-09-30,1997.0
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,11050.0,9795.0,163.0,7,1085.0,471.0,290.0,142.0,7,32.0,10579.0,9505.0,21,1053.0,09/30/97,1997-09-30,1997.0
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,69.0,46.0,10.0,0,13.0,20.0,10.0,10.0,0,0.0,49.0,36.0,0,13.0,09/30/97,1997-09-30,1997.0
