Tm,Lg,G,W,L,R,RA,TOTAL PAYROLL,AVG SALARY,MEDIAN,STD DEV
ARI,NL,162,81,81,4.5,4.2,74284833,2653029,1625000,2587139
ATL,NL,162,94,68,4.3,3.7,83309942,2776998,577500,4037723
BAL,AL,162,93,69,4.4,4.4,81428999,2807896,1300000,3205445
BOS,AL,162,69,93,4.5,5,173186617,5093724,1556250,6311421
CHC,NL,162,61,101,3.8,4.7,88197033,3392193,1262500,4617206
CHW,AL,162,85,77,4.6,4.2,96919500,3876780,530000,4956845
CIN,NL,162,97,65,4.1,3.6,82203616,2935843,1150000,3462247
CLE,AL,162,68,94,4.1,5.2,78430300,2704493,800000,3661123
COL,NL,162,64,98,4.7,5.5,78069571,2692054,482000,3272886
DET,AL,162,88,74,4.5,4.1,132300000,4562068,1100000,6557916
HOU,NL,162,55,107,3.6,4.9,60651000,2332730,491250,4543506
KCR,AL,162,72,90,4.2,4.6,60916225,2030540,870000,2282159
LAA,AL,162,89,73,4.7,4.3,154485166,5327074,3150000,6212772
LAD,NL,162,86,76,3.9,3.7,95143575,3171452,875000,3673217
MIA,NL,162,69,93,3.8,4.5,118078000,4373259,1500000,5228424
MIL,NL,162,83,79,4.8,4.5,97653944,3755920,1981250,3965659
MIN,AL,162,66,96,4.3,5.1,94085000,3484629,750000,5207450
NYM,NL,162,74,88,4,4.4,93353983,3457554,875000,5867084
NYY,AL,162,95,67,5,4.1,197962289,6186321,1937500,7938987
OAK,AL,162,94,68,4.4,3.8,55372500,1845750,487500,2179703
PHI,NL,162,81,81,4.2,4.2,174538938,5817964,1875000,6833158
PIT,NL,162,79,83,4,4.2,63431999,2187310,916666,3109669
SDP,NL,162,76,86,4,4.4,55244700,1973025,1207500,2049861
SEA,AL,162,75,87,3.8,4,81978100,2927789,495150,4998379
SFG,NL,162,94,68,4.4,4,117620683,3920689,1275000,5296153
STL,NL,162,88,74,4.7,4,110300862,3939316,800000,4858527
TBR,AL,162,90,72,4.3,3.6,64173500,2291910,1425000,2313395
TEX,AL,162,93,69,5,4.4,120510974,4635037,3437500,4728330
TOR,AL,162,73,89,4.4,4.8,75489200,2696042,1768750,2881414
WSN,NL,162,98,64,4.5,3.7,81336143,2623746,800000,3618322
